post_id,post_name
41,Ba chỉ nướng Hàn Quốc
42,Ba chỉ bò cuốn nấm kim châm
43,Lòng nướng ngũ vị
44,Nầm lợn nướng sa tế
45,Sườn nướng sốt BBQ
46,Mực nướng muối ớt
47,Đùi gà nướng cay
48,Thịt xiên nướng rau củ
49,Cá nướng riềng sả
50,Cá lóc hấp sả chanh
51,Cải bẹ xanh cuộn cá thác lác hấp gừng
52,Gà hấp gia vị
54,Trứng cuộn tôm hấp
55,Đậu phụ hấp trứng
56,Nghêu hấp sả
57,Tôm hấp nước sốt cay
59,Bánh phô mai sầu riêng
60,Bánh cuộn kem dâu
61,Chè sắn
63,Chè dừa dầm
64,Thạch dưa hấu
65,Rau câu dừa
66,Rau câu dừa
67,Sinh tố dâu tây và việt quất
68,Trái cây dằm sữa chua
69,Gà viên chiên sốt cay
70,Gà chiên giòn sốt chua cay mặn ngọt
71,Thịt gà que chiên xù
72,Sườn chiên sốt tỏi
73,Thịt ba chỉ chiên lắc sả tắc
75,Da heo chiên giòn xóc tỏi
76,Khoai tây lốc xoáy
79,Súp gà ngô non
80,Súp hải sản
84,Súp ghẹ và nấm đông cô
85,Gà hầm hạt sen
86,Xương bò hầm atiso
87,Bồ câu hầm sen
88,Gà hầm thuốc bắc
89,Thịt dê hầm gừng
90,Canh củ sen hầm
91,Salad cà chua
92,Salad trứng gà
93,Salad trái cây
94,Salad thịt gà
95,Salad hải sản
96,Salad ngô
97,Salad dưa hấu
98,Salad mì Ý
104,Snack hành tây
105,Sanck đậu phộng
106,Snack cà rốt
107,Snack chuối
111,Snack khoai lang
112,Snack rong biển
113,Snack bột mì giòn
114,Snack táo nướng
115,Snack củ sen
116,Snack khoai tây que
117,Soda chanh
118,Nước ép dưa chuột
119,Nước ép bí đao
120,Trà xanh
121,Nước dừa tắc
122,Nước atiso
123,Nước chanh dây
124,Nước nha đam đường phèn
125,Nước sâm rong biển
126,Nước rau má
127,Trà vải dưa hấu
128,Cà phê cốt dừa
129,Trà nhãn
130,Trà sữa
131,Capuchino
132,Bạc sỉu đá
133,Lipton (nóng/đá)
134,Trà đào cam sả
135,Sinh tố bơ
136,Yaua dâu
137,Espresso
